RunID,CheckSum,StepType,StepLabel,ChannelNumber,SampleIndex,CurveTime,CurvePressure,Weight
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,770,-297,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,780,-288,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,790,-278,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,800,-273,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,810,-273,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,820,-268,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,830,-263,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,840,-263,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,850,-263,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,860,-258,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,870,-258,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,880,-258,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,890,-258,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,900,-258,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,910,-253,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,920,-253,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,930,-253,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,940,-253,0.04013
375a1ed352c249328a1829c17885849d,-231352388,-533331728,Aspirate,1,0,950,-253,0.04013
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,0,0,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,10,0,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,20,4,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,30,4,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,40,4,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,50,4,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,60,4,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,70,0,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,80,-29,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,90,-146,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,100,-253,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,110,-361,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,120,-463,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,130,-541,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,140,-581,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,150,-605,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,160,-629,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,170,-644,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,180,-649,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,190,-659,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,200,-659,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,210,-664,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,220,-668,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,230,-673,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,240,-678,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,250,-683,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,260,-688,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,270,-693,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,280,-698,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,290,-693,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,300,-693,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,310,-693,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,320,-698,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,330,-703,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,340,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,350,-712,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,360,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,370,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,380,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,390,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,400,-708,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,410,-712,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,420,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,430,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,440,-717,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,450,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,460,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,470,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,480,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,490,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,500,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,510,-727,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,520,-727,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,530,-727,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,540,-727,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,550,-732,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,560,-722,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,570,-732,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,580,-737,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,590,-737,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,600,-737,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,610,-732,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,620,-732,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,630,-732,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,640,-737,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,650,-742,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,660,-747,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,670,-698,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,680,-634,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,690,-537,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,700,-454,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,710,-395,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,720,-346,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,730,-307,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,740,-283,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,750,-263,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,760,-249,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,770,-239,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,780,-234,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,790,-224,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,800,-224,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,810,-224,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,820,-224,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,830,-224,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,840,-219,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,850,-219,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,860,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,870,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,880,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,890,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,900,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,910,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,920,-209,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,930,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,940,-214,0.04521
375a1ed352c249328a1829c17885849d,348626320,-533331728,Aspirate,2,1,950,-209,0.04521
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,0,0,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,10,4,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,20,0,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,30,0,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,40,0,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,50,0,0.04958
375a1ed352c249328a1829c17885849d,-442369775,-533331728,Aspirate,3,2,60,0,0.04958
